id,text,createdAt,updatedAt,serverId,channelId,userId
1,"123 3242 43","2016-09-24 22:45:31","2016-09-26 16:25:52",1,1,1
2,"message  :innocent: ","2016-09-24 22:45:51","2016-09-24 22:45:51",1,2,1
3,"llections of open source software. Create, manage, and work on some of today’s most influent","2016-09-25 12:57:21","2016-09-25 12:57:21",1,2,1
4,"Use GitHub to create a personal project, whether you want to experiment with a new programming language or host your life’s work.","2016-09-25 13:00:02","2016-09-25 13:00:02",1,2,1
5,"Businesses of all sizes use GitHub to support their development process and securely build software.  :thinking_face: ","2016-09-25 13:06:40","2016-09-25 13:06:40",1,2,1
6," hobbyists to professionals, GitHub helps developers simplify the way they build software.  :sunglasses:   :money_mouth_face: ","2016-09-25 13:08:46","2016-09-25 13:08:46",1,2,1
7,"GitHub fosters a fast,   :hugging_face: flexible, and collaborative development process that lets you work on your own or with others","2016-09-25 13:12:26","2016-09-25 13:12:26",1,2,1
8,"One platform, from start to finish  :+1: ","2016-09-25 13:13:05","2016-09-25 13:13:05",1,2,1
9,"Use GitHub to create a personal pr  :baby_chick: oject, whether you want to experiment with a new programming language or host your life’s work.   :expressionless: ","2016-09-25 13:13:32","2016-09-25 13:13:32",1,2,1
10,"hello people  :raised_hands: ","2016-09-25 13:14:59","2016-09-25 13:14:59",1,2,3
11,"what are you going to do?  :snowboarder: ","2016-09-25 13:19:00","2016-09-25 13:19:00",1,2,3
12," :timer_clock:  time ","2016-09-25 13:21:31","2016-09-25 13:21:31",1,2,3
13,"Millions of developers use GitHub to build personal projects, support their businesses, and work together on open source technologies.","2016-09-25 13:24:11","2016-09-25 13:24:11",1,2,2
14," :upside_down_face:  How people build software","2016-09-25 13:24:20","2016-09-25 13:24:20",1,2,2
15," :no_mouth:  :pear: ","2016-09-25 13:28:32","2016-09-25 13:28:32",1,2,2
16,"See what people are working on","2016-09-25 13:29:04","2016-09-25 13:29:04",1,2,3
17,"Learn how developers build software","2016-09-25 13:29:08","2016-09-25 13:29:08",1,2,3
18,"Share your work with the world","2016-09-25 13:29:12","2016-09-25 13:29:12",1,2,3
19,"Share your project so others can use it or to get feedback from the GitHub community.    :sunglasses: :earth_africa:  :earth_africa: :earth_africa: ","2016-09-25 13:29:41","2016-09-25 13:29:41",1,2,3
20,"There is a lot happening on GitHub. Here are a few ways to get started.","2016-09-25 13:29:52","2016-09-25 13:29:52",1,2,3
21,"1wewq :sunglasses: ","2016-09-25 13:31:11","2016-09-26 16:27:20",1,2,2
22,2,"2016-09-25 13:31:13","2016-09-25 13:31:13",1,2,2
23,"3we wqe  :face_with_rolling_eyes:  ","2016-09-25 13:31:13","2016-09-26 16:27:30",1,2,2
24,4,"2016-09-25 13:31:14","2016-09-25 13:31:14",1,2,2
25,5,"2016-09-25 13:31:15","2016-09-25 13:31:15",1,2,2
26,6,"2016-09-25 13:31:16","2016-09-25 13:31:16",1,2,2
27,7,"2016-09-25 13:31:16","2016-09-25 13:31:16",1,2,2
28,8,"2016-09-25 13:31:17","2016-09-25 13:31:17",1,2,2
29,9,"2016-09-25 13:31:17","2016-09-25 13:31:17",1,2,2
30,0,"2016-09-25 13:31:19","2016-09-25 13:31:19",1,2,2
31,1,"2016-09-25 13:31:21","2016-09-25 13:31:21",1,2,2
32,2,"2016-09-25 13:31:22","2016-09-25 13:31:22",1,2,2
33,3,"2016-09-25 13:31:23","2016-09-25 13:31:23",1,2,2
34,4,"2016-09-25 13:31:24","2016-09-25 13:31:24",1,2,2
35,5,"2016-09-25 13:31:24","2016-09-25 13:31:24",1,2,2
36,6,"2016-09-25 13:31:25","2016-09-25 13:31:25",1,2,2
37,7,"2016-09-25 13:31:26","2016-09-25 13:31:26",1,2,2
38,8,"2016-09-25 13:31:26","2016-09-25 13:31:26",1,2,2
39,9,"2016-09-25 13:31:27","2016-09-25 13:31:27",1,2,2
40,1,"2016-09-25 13:31:30","2016-09-25 13:31:30",1,2,2
41,2,"2016-09-25 13:31:31","2016-09-25 13:31:31",1,2,2
42,3yuy,"2016-09-25 13:31:32","2016-09-26 19:54:39",1,2,2
43,4,"2016-09-25 13:31:32","2016-09-25 13:31:32",1,2,2
44,5,"2016-09-25 13:31:33","2016-09-25 13:31:33",1,2,2
45,"6asda :unamused: e","2016-09-25 13:31:34","2016-09-26 17:52:20",1,2,2
46,"731512  :heart_eyes: ","2016-09-25 13:31:35","2016-09-26 17:54:55",1,2,2
47," :pray:  sssasda","2016-09-25 13:31:36","2016-09-26 19:56:07",1,2,2
48,9ssdf,"2016-09-25 13:31:37","2016-09-26 18:05:07",1,2,2
49,0,"2016-09-25 13:31:38","2016-09-25 13:31:38",1,2,2
50,30------,"2016-09-25 13:32:23","2016-09-25 13:32:23",1,2,2
51,1,"2016-09-25 13:32:52","2016-09-25 13:32:52",1,2,3
52,2,"2016-09-25 13:32:53","2016-09-25 13:32:53",1,2,3
53,3,"2016-09-25 13:32:54","2016-09-25 13:32:54",1,2,3
54,4,"2016-09-25 13:32:55","2016-09-25 13:32:55",1,2,3
55,5r,"2016-09-25 13:32:55","2016-09-26 16:06:26",1,2,3
56,6d,"2016-09-25 13:32:56","2016-09-26 15:51:42",1,2,3
57,7,"2016-09-25 13:32:57","2016-09-25 13:32:57",1,2,3
58,"8 алоха","2016-09-25 13:32:58","2016-09-26 16:10:42",1,2,3
59,9,"2016-09-25 13:32:59","2016-09-25 13:32:59",1,2,3
60,0,"2016-09-25 13:33:00","2016-09-25 13:33:00",1,2,3
61,41,"2016-09-25 13:33:40","2016-09-25 13:33:40",1,2,3
62,42,"2016-09-25 13:33:42","2016-09-25 13:33:42",1,2,3
63,43,"2016-09-25 13:33:44","2016-09-25 13:33:44",1,2,3
64,44,"2016-09-25 13:33:45","2016-09-25 13:33:45",1,2,3
65,45,"2016-09-25 13:33:46","2016-09-25 13:33:46",1,2,3
66,46,"2016-09-25 13:33:48","2016-09-25 13:33:48",1,2,3
67,47,"2016-09-25 13:33:49","2016-09-25 13:33:49",1,2,3
68,провекаewrew,"2016-09-25 14:27:57","2016-10-03 18:35:59",1,2,2
69," :face_with_rolling_eyes: ","2016-09-25 14:28:07","2016-09-25 14:28:07",1,2,2
70," :sunglasses: 123wwwjjj оп оп","2016-09-26 11:29:20","2016-09-26 16:10:28",1,2,2
71,werewr456,"2016-09-26 15:41:43","2016-09-26 15:53:58",1,2,2
72,kjkl,"2016-09-27 08:00:05","2016-09-27 08:00:05",1,2,2
73,34\,"2016-09-27 08:02:06","2016-09-27 08:02:06",1,2,2
74,rwerJ,"2016-09-27 08:08:57","2016-10-03 18:59:36",1,2,2
75,"wqew :kissing_heart: ","2016-09-27 08:14:32","2016-09-27 08:14:32",1,2,2
76,привет),"2016-09-27 08:17:39","2016-09-27 08:17:39",1,2,2
78,234,"2016-09-27 09:37:54","2016-09-27 09:37:54",1,2,2
79,"ewew :thinking_face: 
","2016-09-27 10:01:43","2016-09-27 10:01:43",1,2,2
80,"привет  :face_with_rolling_eyes: ","2016-09-27 12:23:25","2016-09-27 12:23:25",1,2,2
81," :kissing_closed_eyes:  попытка 2","2016-09-27 12:23:53","2016-09-27 12:23:53",1,2,2
82,"попытка 3  :thinking_face: ","2016-09-27 12:24:52","2016-09-27 12:24:52",1,2,2
83,"trying 4","2016-09-27 12:25:31","2016-09-27 12:25:31",1,2,2
84,"
22","2016-09-27 12:26:06","2016-09-27 12:26:06",1,2,2
85,"
342","2016-09-27 12:26:18","2016-09-27 12:26:18",1,2,2
86,wewer,"2016-09-27 12:27:05","2016-09-27 12:27:05",1,2,2
87,234retrereert,"2016-09-27 12:27:28","2016-09-28 16:15:44",1,2,2
88,ewr,"2016-09-27 12:29:09","2016-09-27 12:29:09",1,2,2
89,check,"2016-09-27 12:30:06","2016-09-27 12:30:06",1,2,2
90,234,"2016-09-27 12:31:46","2016-09-27 12:31:46",1,2,2
91,"now ","2016-09-27 12:32:34","2016-09-27 12:32:34",1,2,2
92,hhh,"2016-09-27 12:34:55","2016-09-27 12:41:35",1,2,2
93,yes,"2016-09-27 12:39:08","2016-09-27 12:39:08",1,2,2
94,zzz,"2016-09-27 12:39:21","2016-09-27 12:39:21",1,2,2
95,aasd,"2016-09-27 12:40:57","2016-09-27 12:40:57",1,2,2
96,"
wqewwqewqe","2016-09-27 12:41:03","2016-09-27 12:41:03",1,2,2
97,"iouyiy
","2016-09-27 12:41:09","2016-09-27 13:07:18",1,2,2
99,wqewq,"2016-09-27 13:07:21","2016-09-27 13:17:24",1,2,2
100,sd,"2016-09-27 13:12:35","2016-09-27 13:12:35",1,2,2
101,df,"2016-09-27 13:12:46","2016-09-27 13:12:46",1,2,2
102,sdf,"2016-09-27 13:13:31","2016-09-27 13:13:31",1,2,2
103,dsfds,"2016-09-27 13:14:08","2016-09-27 13:14:08",1,2,2
104,"привет !!!!  :open_mouth:  :thinking_face: hmm","2016-09-27 13:18:20","2016-09-27 14:03:48",1,2,2
105,"whats up  :hugging_face: ","2016-09-27 14:04:03","2016-09-27 14:04:20",1,2,3
113,45,"2016-09-27 14:15:35","2016-09-27 14:15:35",1,3,3
114,"4324324  :sunglasses:","2016-09-27 14:17:20","2016-09-27 14:17:20",1,1,3
115,234,"2016-09-27 14:17:52","2016-09-27 14:17:52",1,1,3
116,342,"2016-09-27 14:19:06","2016-09-27 14:19:06",1,1,3
117,123123,"2016-09-27 14:33:53","2016-09-27 14:33:53",1,1,3
118,:eyes:,"2016-09-27 14:34:03","2016-09-27 14:34:03",1,1,3
120,uuuuu,"2016-09-28 13:13:35","2016-09-28 13:13:35",1,2,2
121,werewewrwe,"2016-09-28 13:19:55","2016-09-28 13:19:55",1,2,2
122,ertreertert,"2016-09-28 13:20:07","2016-09-28 13:20:07",1,2,2
123,224,"2016-09-28 13:20:13","2016-09-28 13:20:13",1,2,2
124,"sdfsdsfsd :money_mouth_face: ","2016-09-28 13:20:53","2016-10-05 09:01:47",1,2,2
125,sdfdsfewewr,"2016-09-28 13:20:58","2016-09-28 13:20:58",1,2,2
126,dsdsdfs,"2016-09-28 13:21:07","2016-09-28 13:21:07",1,2,2
127,dsdfdsfsdewewr,"2016-09-28 13:25:41","2016-10-04 10:25:40",1,2,2
128,dsdsfsd,"2016-09-28 13:25:46","2016-09-28 13:25:46",1,2,2
129,sdfds,"2016-09-28 13:25:48","2016-09-28 13:25:48",1,2,2
130,sdfdsdsadassadsad,"2016-09-28 13:25:50","2016-09-28 16:02:36",1,2,2
131,dddfdsdsdfsdfdferew,"2016-09-28 14:04:27","2016-10-03 20:11:35",1,2,3
132,dfsdsfsd,"2016-09-28 14:05:16","2016-09-28 14:05:16",1,2,2
133,dsfsdsf,"2016-09-28 14:05:25","2016-09-28 14:05:25",1,2,2
134,"ewew :kissing_heart:","2016-10-04 10:44:58","2016-10-04 10:44:58",1,2,2
135,ewrwwerwerewewewr,"2016-10-04 10:45:34","2016-10-04 10:45:34",1,2,3
